time (seconds),Light,Sound,Temperature,Time
8.06,128,128,21,414
8.06,128,128,21,415
8.06,128,128,21,416
8.06,128,128,21,417
8.06,128,128,21,418
8.06,128,128,21,419
8.06,128,128,21,420
8.06,128,128,21,421
8.06,128,128,21,422
8.06,128,128,21,423
8.06,128,128,21,424
8.06,128,128,21,425
8.06,128,128,21,426
8.06,128,128,21,427
8.06,128,128,21,428
8.06,128,128,21,429
8.06,128,128,21,430
8.061,128,128,21,431
8.061,128,128,21,432
8.061,128,128,21,433
8.061,128,128,21,434
8.061,128,128,21,435
8.061,128,128,21,436
8.061,128,128,21,437
8.061,128,128,21,438
8.061,128,128,21,439
8.061,128,128,21,440
8.061,128,128,21,441
8.061,128,128,21,442
8.061,128,128,21,443
8.061,128,128,21,444
8.061,128,128,21,445
8.061,128,128,21,446
8.061,128,128,21,447
8.061,128,128,21,448
8.061,128,128,21,449
8.061,128,128,21,450
8.061,128,128,21,451
8.061,128,128,21,452
8.061,128,128,21,453
8.061,128,128,21,454
8.061,128,128,21,455
8.061,128,128,21,456
8.061,128,128,21,457
8.061,128,128,21,458
8.061,128,128,21,459
8.061,128,128,21,460
8.061,128,128,21,461
8.062,128,128,21,462
8.062,128,128,21,463
8.062,128,128,21,464
8.062,128,128,21,465
8.062,128,128,21,466
8.062,128,128,21,467
8.062,128,128,21,468
8.062,128,128,21,469
8.062,128,128,21,470
8.062,128,128,21,471
8.062,128,128,21,472
8.062,128,128,21,473
8.062,128,128,21,474
8.062,128,128,21,475
8.062,128,128,21,476
8.062,128,128,21,477
8.062,128,128,21,478
8.062,128,128,21,479
8.062,128,128,21,480
8.062,128,128,21,481
8.062,128,128,21,482
8.062,128,128,21,483
8.062,128,128,21,484
8.062,128,128,21,485
8.062,128,128,21,486
8.062,128,128,21,487
8.062,128,128,21,488
8.062,128,128,21,489
8.062,128,128,21,490
8.068,128,128,21,491
8.068,128,128,21,492
8.068,128,128,21,493
8.068,128,128,21,494
8.068,128,128,21,495
8.068,128,128,21,496
8.068,128,128,21,497
8.068,128,128,21,498
8.068,128,128,21,499
8.069,128,128,21,500
8.069,128,128,21,501
8.069,128,128,21,502
8.069,128,128,21,503
8.069,128,128,21,504
8.069,128,128,21,505
8.069,128,128,21,506
8.069,128,128,21,507
8.069,128,128,21,508
8.069,128,128,21,509
8.069,128,128,21,510
8.069,128,128,21,511
8.069,128,128,21,512
8.069,128,128,21,513
8.07,128,128,21,514
8.07,128,128,21,515
8.07,128,128,21,516
8.07,128,128,21,517
8.07,128,128,21,518
8.07,128,128,21,519
8.07,128,128,21,520
8.07,128,128,21,521
8.07,128,128,21,522
8.07,128,128,21,523
8.07,128,128,21,524
8.07,128,128,21,525
8.07,128,128,21,526
8.07,128,128,21,527
8.07,128,128,21,528
8.07,128,128,21,529
8.07,128,128,21,530
8.07,128,128,21,531
8.07,128,128,21,532
8.071,128,128,21,533
8.071,128,128,21,534
8.071,128,128,21,535
8.071,128,128,21,536
8.071,128,128,21,537
8.071,128,128,21,538
8.071,128,128,21,539
8.071,128,128,21,540
8.071,128,128,21,541
8.071,128,128,21,542
8.071,128,128,21,543
8.071,128,128,21,544
8.071,128,128,21,545
8.071,128,128,21,546
8.071,128,128,21,547
8.071,128,128,21,548
8.071,128,128,21,549
8.071,128,128,21,550
8.071,128,128,21,551
8.072,128,128,21,552
8.072,128,128,21,553
8.072,128,128,21,554
8.072,128,128,21,555
8.072,128,128,21,556
8.072,128,128,21,557
8.072,128,128,21,558
8.072,128,128,21,559
8.072,128,128,21,560
8.072,128,128,21,561
8.072,128,128,21,562
8.072,128,128,21,563
8.072,128,128,21,564
8.072,128,128,21,565
8.072,128,128,21,566
8.072,128,128,21,567
8.072,128,128,21,568
8.072,128,128,21,569
8.072,128,128,21,570
8.072,128,128,21,571
8.072,128,128,21,572
8.073,128,128,21,573
8.073,128,128,21,574
8.073,128,128,21,575
8.073,128,128,21,576
8.073,128,128,21,577
8.073,128,128,21,578
8.073,128,128,21,579
8.073,128,128,21,580
8.073,128,128,21,581
8.073,128,128,21,582
